"Shipment picked up","Saadetis on üles korjatud"
"Shipment Duty Payment Type","Saadetise maksu tasumise tüüp"
"Shipment type","Saadetise tüüp"
"Shipping key","Saadetise võit"
"Shipping key (International)","Saadetise võti (rahvusvaheline)"
"Receiver","Saaja"
"Sender","Saatja"
"Password","Salasõna"
"Bound Printed Matter","Seotud prinditud materjal"
"Shipment Contains Hazardous Materials","Shipment Contains Hazardous Materials"
"Shipper Number","Shipper Number"
"Destination type","Sihtkoha tüüp"
"Standard Overnight","Standartne üleöö"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal With Discount"
"Large","Suur"
"Size","Suurus"
"Request Courier","Taotle kullerit"
"Free shipping with minimum order amount","Tasuta lähetamine koos minimaalse tellimuse summaga"
"Free method","Tasuta meetod"
"Empty response","Tühi vastus"
"Unknown error","Teadmata viga"
"Your Packaging","Teie pakend"
"Second Day Service","Teise päeva teenus"
"Order","Tellimus"
"To lower","To lower"
"To upper","To upper"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS type","UPS tüüp"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"UserId","UserId"
"USPS","USPS"
"Response is in the wrong format","Vastus on vales formaadis"
"Error #%s : %s (%s)","Viga nr %s : %s (%s)"
"Error #%s: %s","Viga nr %s: %s"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
