"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"maiustused/Mentos";"simple";"30299";"''";"MENTOS piparmündi 40*38g";"''"; 000000.31;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"320";"Mentos";"Catalog";"''"; 1; 00.00;"0";"30299";"20";"tk"
"admin";"base";"Jungent";"maiustused/Fruittella";"simple";"31799";"''";"FRUITTELLA Strawberry Coctail 41g*20";"''"; 000000.21;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"320";"Fruittella";"Catalog";"''"; 1; 00.00;"87306279";"31799";"20";"tk"
"admin";"base";"Jungent";"mineraalvesi/Mineraalvesi Evian";"simple";"85699";"''";"Evian 0,75L klaas";"''"; 000001.44;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12tk*0,75L";"Evian";"Catalog";"''"; 1; 00.66;"3068320103389";"85699";"20";"tk"
"admin";"base";"Jungent";"pagaritooted/Bake-off pagaritooted Mantinga,mantinga/Bake-off pagaritooted Mantinga";"simple";"123299";"''";"Rosinarull 90g";"''"; 000000.32;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"50";"Mantinga";"Catalog";"''"; 1; 00.00;"4771033226472";"123299";"20";"Tk"
"admin";"base";"Jungent";"pagaritooted/Valmispagaritooted Mantinga,mantinga/Valmispagaritooted Mantinga";"simple";"126099";"''";"Berliner moosipall mustika 85g (eraldi pakitu)";"''"; 000000.35;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"18";"Mantinga";"Catalog";"''"; 1; 00.00;"4771033001918";"126099";"20";"Tk"
"admin";"base";"Jungent";"spordijoogid - pulbrid ja geelid/Isostar";"simple";"210699";"''";"ISOSTAR joogipudel 650ml";"''"; 000001.51;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"96";"ISOSTAR";"Catalog";"''"; 1; 00.00;"3175681074637";"210699";"20";"tk"
"admin";"base";"Jungent";"gourmet - singid oliivid salaamid/Lihatooted Elpozo";"simple";"350399";"''";"Serrano sink kondita 5,5kg (kg hind)";"''"; 000015.58;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"1tk*5,5kg";"Elpozo";"Catalog";"''"; 0; 00.00;"0";"350399";"20";"Kg"
"admin";"base";"Jungent";"mahl/Mahlad ja nektarid Cido 1L";"simple";"428699";"''";"CIDO Mitme puuvilja porgandimahl MIX 100% 1L";"''"; 000000.68;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Cido";"Catalog";"''"; 0; 00.00;"4750042302186";"428699";"20";"tk"
"admin";"base";"Jungent";"kakao ja tee/Purutee täitepakid Dilmah";"simple";"505399";"''";"DILMAH ""T"" Natural Rosehip with Hibiscus 400g täitepakk";"''"; 000013.00;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"1tk*400g";"Dilmah";"Catalog";"''"; 0; 00.00;"9312631836417";"505399";"20";"Tk"
"admin";"base";"Jungent";"hügieenitarbed/Dushigeel";"simple";"614299";"''";"PO dušigeel AT Morning Tonic 250ml";"''"; 000001.38;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Palmolive";"Catalog";"''"; 1; 00.00;"8714789487618";"614299";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Dushigeel";"simple";"614599";"''";"PO dušigeel Thermal Spa Beauty 250ml";"''"; 000001.38;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Palmolive";"Catalog";"''"; 1; 00.00;"5996175231132";"614599";"20";"tk"
