"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"maiustused/Mentos";"simple";"32199";"''";"MENTOS Fresh Cola 40*38g";"''"; 000000.31;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"320";"Mentos";"Catalog";"''"; 0; 00.00;"87308679";"32199";"20";"tk"
"admin";"base";"Jungent";"mineraalvesi/Mineraalvesi Evian";"simple";"82199";"''";"Evian 1,5L pet";"''"; 000000.96;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"6tk*1,5L";"Evian";"Catalog";"''"; 1; 00.33;"3068320085005";"82199";"20";"tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu kastmed Sibylla";"simple";"133599";"''";"Hamburgerikaste 900g";"''"; 000002.05;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"6tk";"Maustaja";"Catalog";"''"; 1; 00.00;"6416812005203";"133599";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu kastmed ja salatid";"simple";"133699";"''";"Felix kurgisalat 3,2kg";"''"; 000007.05;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"2tk";"Felix";"Catalog";"''"; 1; 00.00;"4740029040514";"133699";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu kastmed ja salatid";"simple";"133799";"''";"Felix grillisalat 3,2kg";"''"; 000007.05;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"2tk";"Felix";"Catalog";"''"; 1; 00.00;"4740029040521";"133799";"20";"Tk"
"admin";"base";"Jungent";"mahl/Mahlad ja nektarid Solo 1L";"simple";"135199";"''";"Põltsamaa jõhvikajook 10%";"''"; 000000.89;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12tk*1L";"Felix";"Catalog";"''"; 1; 00.00;"4740029051084";"135199";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu kastmed ja salatid";"simple";"135699";"''";"Felixi Piknikukurk 8,2kg (viilud)";"''"; 000010.70;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"1tk";"Felix";"Catalog";"''"; 1; 00.00;"4740029040293";"135699";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu kastmed ja salatid";"simple";"135999";"''";"Felix Perekurk 8,2kg (terved)";"''"; 000010.70;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"1tk";"Felix";"Catalog";"''"; 0; 00.00;"4740029040286";"135999";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Felix";"simple";"136199";"''";"Põltsamaa Ploominektar 1L";"''"; 000000.86;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Felix";"Catalog";"''"; 1; 00.00;"4740029055099";"136199";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu lihatooted Foodworks";"simple";"140699";"''";"Saksapärane seašnitsel (eelküpsetatud) 100*80gr";"''"; 000057.60;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"8kg";"Foodworks";"Catalog";"''"; 1; 00.00;"0";"140699";"20";"Kast"
