"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"marjad ja moosid/PURE";"simple";"243099";"''";"PURE Adžika 280g";"''"; 000000.77;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Pure";"Catalog";"''"; 0; 00.00;"4750145003690";"243099";"20";"tk"
"admin";"base";"Jungent";"kohv/Merrild";"simple";"251499";"''";"Senseo Cappuccino power 125g";"''"; 000003.45;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"10";"Merrild";"Catalog";"''"; 1; 00.00;"5701037072682";"251499";"20";"Tk"
"admin";"base";"Jungent";"kohv/Merrild";"simple";"252099";"''";"Senseo Dark Roast 125g";"''"; 000002.89;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"10";"Merrild";"Catalog";"''"; 1; 00.00;"5701037230273";"252099";"20";"Tk"
"admin";"base";"Jungent";"kohv/Merrild";"simple";"253499";"''";"Senseo Medium Roast 125g";"''"; 000002.89;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"10";"Merrild";"Catalog";"''"; 1; 00.00;"5701037230266";"253499";"20";"Tk"
"admin";"base";"Jungent";"kakao ja tee/Pickwick";"simple";"252999";"''";"Pickwick mix pack Green 12*20*2g";"''"; 000000.94;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Pickwick";"Catalog";"''"; 1; 00.00;"8711000023389";"252999";"20";"Tk"
"admin";"base";"Jungent";"alkohol ja kali/õlu";"simple";"109444";"''";"Erdinger Weissbier 5,3% 0,5l ( kl. pdl) UUS!!! (nisuõlu)";"''"; 000001.37;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12tk*0,5L";"Erdinger";"Catalog";"''"; 0; 00.66;"4002103248248";"109444";"20";"Pudel"
"admin";"base";"Jungent";"kartulitooted/Kartulisuupisted Lambweston";"simple";"592899";"''";"Cheddar juust jalopenoga1kg";"''"; 000009.59;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"6tk*1kg";"LambWeston";"Catalog";"''"; 0; 00.00;"8711571003018";"592899";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Libero mähkmed";"simple";"677099";"''";"Libero Comfort Fit XL+ 15-30kg (22)";"''"; 000006.71;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"6";"Libero";"Catalog";"''"; 0; 00.00;"7322540169393";"677099";"20";"tk"
