"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"maiustused/Crazy Planet";"simple";"24899";"''";"CRAZY DIPS Cola 12*24tk";"''"; 000000.22;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"288";"Chupa";"Catalog";"''"; 0; 00.00;"8410031921007";"24899";"20";"tk"
"admin";"base";"Jungent";"kohv/Kohvioad Merrild";"simple";"258699";"''";"Piazza dOro  Forza UTZ kohviuba 1kg";"''"; 000019.11;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"6tk*1 kg";"Merrild";"Catalog";"''"; 0; 00.00;"8711000043622";"258699";"20";"Tk"
"admin";"base";"Jungent";"gourmet - singid oliivid salaamid/Lihatooted Elpozo";"simple";"351899";"''";"Elpozo Assorted Spanish TAPAS 100 g";"''"; 000001.46;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"15";"Elpozo";"Catalog";"''"; 0; 00.00;"8410843070092";"351899";"20";"tk"
"admin";"base";"Jungent";"kartulitooted/Friikartulid Lambweston";"simple";"590399";"''";"Friikartulid Fast Track 90 sek 10x10mm";"''"; 000003.40;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"4tk*2,5kg";"LambWeston";"Catalog";"''"; 1; 00.00;"8711571048194";"590399";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Colgate Hambapasta";"simple";"606599";"''";"COLGATE HP Total Pro Gum Health 75 ml";"''"; 000001.54;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Colgate";"Catalog";"''"; 0; 00.00;"8714789691985";"606599";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Colgate Hambahari";"simple";"603999";"''";"COLGATE HH Zig-Zag Medium";"''"; 000000.68;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Colgate";"Catalog";"''"; 1; 00.00;"7610196003544";"603999";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Colgate Hambahari";"simple";"647699";"''";"COLGATE HH Max Fresh Soft";"''"; 000001.51;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"12";"Colgate";"Catalog";"''"; 1; 00.00;"5943001900106";"647699";"20";"Tk"
"admin";"base";"Jungent";"hügieenitarbed/Ajax Muu";"simple";"620299";"''";"AJAX Powder Lemon 500g";"''"; 000000.72;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"18";"Ajax";"Catalog";"''"; 0; 00.00;"5900273419323";"620299";"20";"tk"
