"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"maiustused/Mentos";"simple";"35599";"''";"Mentos Pure Fresh Fresh mint 6*30g RIMI";"''"; 000000.61;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"216";"Mentos";"Catalog";"''"; 1; 00.00;"46070333";"35599";"20";"tk"
"admin";"base";"Jungent";"maiustused/M&M";"simple";"153299";"''";"M&M pähkli 210g";"''"; 000001.79;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"20";"M&M's";"Catalog";"''"; 0; 00.00;"5900951027444";"153299";"20";"tk"
"admin";"base";"Jungent";"maiustused/Drazeed M&Ms";"simple";"154599";"''";"M&M pähkli kotis";"''"; 000001.06;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"24tk*110g";"M&M's";"Catalog";"''"; 1; 00.00;"5900951027475";"154599";"20";"tk"
"admin";"base";"Jungent";"kohv/Filterkohvid Merrild HoReCa";"simple";"258399";"''";"MERRILD Cafe Noir UTZ filterkohvi 500g";"''"; 000005.75;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"20tk*500g";"Merrild";"Catalog";"''"; 1; 00.00;"5701037126040";"258399";"20";"Tk"
"admin";"base";"Jungent";"kohv/Kohvioad Merrild";"simple";"258699";"''";"Piazza dOro  Forza UTZ kohviuba 1kg";"''"; 000019.11;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"6tk*1 kg";"Merrild";"Catalog";"''"; 1; 00.00;"8711000043622";"258699";"20";"Tk"
"admin";"base";"Jungent";"kohv/Kohvitopsid Merrild ja Piazza dOro kujundusega";"simple";"259399";"''";"MERRILD kohvitops 250ml (14*96 tk)";"''"; 000003.74;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"96tk*14 toru";"Merrild";"Catalog";"''"; 1; 00.00;"8711000089408";"259399";"20";"Tk"
"admin";"base";"Jungent";"kohv/Filterkohvid Merrild HoReCa";"simple";"259599";"''";"MERRILD Cafe Mocca Dark filtrikohv 200g";"''"; 000002.49;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"40tk*200g";"Merrild";"Catalog";"''"; 1; 00.00;"5701037115549";"259599";"20";"Tk"
"admin";"base";"Jungent";"kakao ja tee/Dilmah tee";"simple";"501399";"''";"DILMAH TGLESS.TBAGS 100*1,5G";"''"; 000002.45;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"24";"Dilmah";"Catalog";"''"; 0; 00.00;"9312631106619";"501399";"20";"Tk"
"admin";"base";"Jungent";"hügieenitarbed/Zewa Taskurätik";"simple";"665599";"''";"ZEWA Softis Aromathera 6x9";"''"; 000000.81;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"24";"Zewa";"Catalog";"''"; 1; 00.00;"7322540352115";"665599";"20";"tk"
