"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"maiustused/Fruittella";"simple";"35099";"''";"FRUITTELLA kummikommid Bears 70g";"''"; 000000.41;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"30";"Fruittella";"Catalog";"''"; 0; 00.00;"4602606004367";"35099";"20";"tk"
"admin";"base";"Jungent";"pagaritooted/Bake-off pagaritooted Mantinga,mantinga/Bake-off pagaritooted Mantinga";"simple";"128399";"''";"Spinatipirukas 60g UUS!!!";"''"; 000000.26;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"60";"Mantinga";"Catalog";"''"; 0; 00.00;"4771033226496";"128399";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu lisatarvikud";"simple";"130899";"''";"Salvrätik 330x 330 mm ( müük kastiga)";"''"; 000002.88;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"250tk";"Sibylla";"Catalog";"''"; 1; 00.00;"7391323003711";"130899";"20";"tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu lisatarvikud";"simple";"130999";"''";"American hot dog paber 3700tk ( müük kastiga)";"''"; 000054.39;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"3700tk";"Sibylla";"Catalog";"''"; 0; 00.00;"7391323502825";"130999";"20";"tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu lisatarvikud";"simple";"132099";"''";"French hot dog tasku 180x100 mm ( müük kastiga)";"''"; 000018.85;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"1000tk";"Sibylla";"Catalog";"''"; 1; 00.00;"0";"132099";"20";"tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu lisatarvikud";"simple";"132199";"''";"Grilli puhastusvahend 500 ml";"''"; 000006.13;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"6tk";"Sibylla";"Catalog";"''"; 1; 00.00;"8015089";"132199";"20";"tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu lisatarvikud";"simple";"133499";"''";"Hamburgeritasku 155x150mm ( müük kastiga)";"''"; 000013.42;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"1000tk";"Sibylla";"Catalog";"''"; 1; 00.00;"0";"133499";"20";"tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu kastmed Sibylla";"simple";"133599";"''";"Hamburgerikaste 900g";"''"; 000002.05;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"6tk";"Maustaja";"Catalog";"''"; 1; 00.00;"6416812005203";"133599";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu kastmed ja salatid";"simple";"133699";"''";"Felix kurgisalat 3,2kg";"''"; 000007.05;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"2tk";"Felix";"Catalog";"''"; 1; 00.00;"4740029040514";"133699";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu kastmed ja salatid";"simple";"133799";"''";"Felix grillisalat 3,2kg";"''"; 000007.05;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"2tk";"Felix";"Catalog";"''"; 1; 00.00;"4740029040521";"133799";"20";"Tk"
"admin";"base";"Jungent";"kiirtoit/Kiirtoidu viilujuust";"simple";"133899";"''";"Sulatatud viilujuust hamburgeritele 88tk*12,3g (eraldi kileta)";"''"; 000007.80;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"6tk*1,08kg";"Estover";"Catalog";"''"; 1; 00.00;"5704025004368";"133899";"20";"Tk"
