"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"maiustused/Mentos";"simple";"32899";"''";"Marbels 12g";"''"; 000000.12;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"240";"Mentos";"Catalog";"''"; 1; 00.00;"8992897109213";"32899";"20";"tk"
"admin";"base";"Jungent";"gourmet - singid oliivid salaamid/Lihatooted Elpozo";"simple";"350899";"''";"Chorizo paprika salaami (viilutatud) 100g";"''"; 000001.56;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"jahutuskaup (+2 - +6)";"Enabled";"Taxable Goods";"15tk*100g";"Elpozo";"Catalog";"''"; 0; 00.00;"8410843078098";"350899";"20";"Tk"
"admin";"base";"Jungent";"mahl/Mahlad ja nektarid Cido 1L";"simple";"423999";"''";"Cido mustsõstra - õunanektar 28%";"''"; 000000.97;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"15tk*1L";"Cido";"Catalog";"''"; 1; 00.00;"4750042804505";"423999";"20";"tk"
"admin";"base";"Jungent";"kiirtoit/Mivina";"simple";"440199";"''";"MIVINA Nuudlid kana 50g";"''"; 000000.15;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"100";"Mivina";"Catalog";"''"; 0; 00.00;"4820048610186";"440199";"20";"tk"
"admin";"base";"Jungent";"maiustused/Katjes";"simple";"52399";"''";"Katjes Yoghurt Bandies kummikommid 75g*20tk";"''"; 000000.45;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"20";"Katjes";"Catalog";"''"; 1; 00.00;"4037400419022";"52399";"20";"tk"
"admin";"base";"Jungent";"kakao ja tee/Must tee Dilmah";"simple";"511699";"''";"Dilmah Earl Gray";"''"; 000002.17;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"25tk*2g";"Dilmah";"Catalog";"''"; 0; 00.00;"0";"511699";"20";"Tk"
"admin";"base";"Jungent";"kartulitooted/Kartulisuupisted Lambweston";"simple";"591599";"''";"Sibularõngad taignas 1kg";"''"; 000003.20;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"10tk*1kg";"LambWeston";"Catalog";"''"; 1; 00.00;"8711571015028";"591599";"20";"tk"
"admin";"base";"Jungent";"kartulitooted/Kartulisuupisted Lambweston";"simple";"592899";"''";"Cheddar juust jalopenoga1kg";"''"; 000009.59;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"6tk*1kg";"LambWeston";"Catalog";"''"; 1; 00.00;"8711571003018";"592899";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Zewa Taskurätik";"simple";"664999";"''";"Zewa Softis Aloe Vera 1*9tk (ÜKSIKULT)";"''"; 000000.14;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"144";"Zewa";"Catalog";"''"; 1; 00.00;"7322540348767";"664999";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Zewa Taskurätik";"simple";"665799";"''";"ZEWA Softis Aloe Vera 6x9";"''"; 000000.81;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"24";"Zewa";"Catalog";"''"; 0; 00.00;"7322540351392";"665799";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Libero mähkmed";"simple";"675499";"''";"Libero Comfort Fit Maxi+ 10-16kg (27)";"''"; 000006.71;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"6";"Libero";"Catalog";"''"; 0; 00.00;"7322540259032";"675499";"20";"tk"
