"store";"websites";"attribute_set";"categories";"type";"sku";"meta_title";"name";"meta_description";price;"description";"short_description";"image";"tuup";"status";"tax_class_id";"unit_quantity";"manufacturer";"visibility";"meta_keyword";is_in_stock;pant;"ean";"axapta_code";"tax_value";"unit_id"
"admin";"base";"Jungent";"maiustused/M&M";"simple";"152999";"''";"M&M pähkli 150g";"''"; 000001.39;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Disabled";"Taxable Goods";;"M&M's";"Catalog";"''"; 0; 00.00;"5900951137525";"152999";"20";"tk"
"admin";"base";"Jungent";"mahl/Mahlajoogid kõrrega Zoo 0.2L";"simple";"421899";"''";"Zoo Banaani-Maasika";"''"; 000000.17;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"18tk*0,2L";"Zoo";"Catalog";"''"; 0; 00.00;"4750042574293";"421899";"20";"tk"
"admin";"base";"Jungent";"kartulitooted/Friikartulid Lambweston";"simple";"590299";"''";"Friikartulid Steakhouse 9x18mm";"''"; 000003.20;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"sügavkülma tooted";"Enabled";"Taxable Goods";"4tk*2,5kg";"LambWeston";"Catalog";"''"; 1; 00.00;"8711571006736";"590299";"20";"tk"
"admin";"base";"Jungent";"hügieenitarbed/Tükiseep";"simple";"610099";"''";"PO seep (roosa) Citrus&Cream 100 g";"''"; 000000.27;"kirjeldus";"lühikirjeldus";"http://tellimine.jungent.ee/images/noimage.png";"tavakaup";"Enabled";"Taxable Goods";"72";"Palmolive";"Catalog";"''"; 0; 00.00;"8693495018920";"610099";"20";"tk"
